Id,Name,RatingDist1,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Genre,PublicationYear
552987,"A War of Gifts (Ender’s Saga, #1.1)",1:234,4:5233,total:14822,12,11,Tor Books,842,2013,eng,Orson Scott Card,3.67,2:1207,5:3179,0765312824,3:4969,Fiction,2007
1530799,Don't Bump the Glump! and Other Fantasies,1:17,4:427,total:1297,18,2,HarperCollins,185,2014,eng,Shel Silverstein,3.88,2:103,5:425,0061493384,3:325,Juvenile Nonfiction,2008
64179,"The Bride Stripped Bare (Bride Trilogy, #1)",1:555,4:1320,total:5288,28,8,Harper Perennial,418,2012,eng,Nikki Gemmell,3.13,2:1013,5:749,0060591889,3:1651,Fiction,2005
106547,"The Dangerous Lord (Lord Trilogy, #3)",1:33,4:1268,total:3145,31,5,Avon,104,2011,eng,Sabrina Jeffries,4.0,2:96,5:1020,0380809273,3:728,Fiction,2011
1220467,Satranç,1:349,4:24953,total:64893,30,6,Can Yayınları,303,2014,tur,Stefan Zweig,4.29,2:1203,5:30413,9755103554,3:7975,Alman romanı,
1351141,Plataforma,1:393,4:6688,total:16432,30,11,Anagrama,101,2013,,Michel Houellebecq,3.8,2:1120,5:4219,8433967665,3:4012,Fiction,
138442,"Found: The Best Lost, Tossed, and Forgotten Items from Around the World",1:27,4:631,total:1846,1,5,Fireside,141,2012,en-US,Davy Rothbart,4.01,2:103,5:699,0743251148,3:386,,2004
3587238,Banquet For the Damned,1:44,4:371,total:1082,3,9,Virgin Books,105,2010,eng,Adam Nevill,3.58,2:124,5:232,0753513587,3:311,Fiction,2008
38434,Post Office,1:1368,4:39233,total:94013,29,7,Ecco,198,2014,eng,Charles Bukowski,3.99,2:4313,5:30576,0061177571,3:18523,,2007
1362815,"Touched by Angels (Angels Everywhere, #3)",1:17,4:573,total:1783,25,10,Avon,112,2011,eng,Debbie Macomber,4.2,2:53,5:825,0061083445,3:315,,
157687,Maldoror and the Complete Works,1:49,4:842,total:3081,30,4,Exact Change,108,2010,eng,Comte de Lautréamont,4.28,2:111,5:1654,187897212X,3:425,Poetry,1994
2458340,Ape House,1:813,4:9973,total:27636,9,7,Bond Street Books,3447,2010,eng,Sara Gruen,3.49,2:3150,5:4131,0385664443,3:9569,,2010
7772,Dr. Seuss's Sleep Book,1:151,4:2523,total:9847,24,7,New York: Random House,353,2012,eng,Dr. Seuss,4.17,2:418,5:4866,0394800915,3:1889,,
1738852,എന്റെ കഥ | Ente Katha,1:359,4:1673,total:5114,1,3,,118,2010,mal,Kamala Suraiyya Das,3.71,2:390,5:1535,8171300596,3:1157,"Authors, Malayalam",2008
2495562,"The Wise Man's Fear  (The Kingkiller Chronicle, #2)",1:2876,4:97374,total:419195,3,6,Gollancz,488,2012,eng,Patrick Rothfuss,4.5600000000000005,2:6548,5:285348,0575081422,3:27049,Attempted assasination,2011
30029,Tales of Mystery and Madness,1:19,4:853,total:2483,30,8,Atheneum,140,2011,eng,Edgar Allan Poe,4.34,2:46,5:1274,0689848374,3:291,,
288188,"Shameless (Banning Sisters, #3)",1:42,4:737,total:1782,1,12,Pocket Books,132,2010,en-US,Karen Robards,3.81,2:113,5:448,0743410610,3:442,,
938087,"The Kingmaking (Pendragon's Banner Trilogy, #1)",1:61,4:585,total:1625,26,9,Silverwood books UK,113,2011,en-GB,Helen Hollick,3.87,2:105,5:527,190623664X,3:347,,
296384,The Endless Steppe: Growing Up in Siberia,1:112,4:1998,total:5082,12,6,HarperCollins,429,2018,eng,Esther Hautzig,3.98,2:214,5:1718,006440577X,3:1040,Juvenile Fiction,
3321252,The Psychopath Test,1:2498,4:49635,total:122153,1,5,Picador,478,2012,eng,Jon Ronson,3.94,2:5744,5:37801,0330492276,3:26475,Humor,2012
2143109,Bottomless Belly Button,1:106,4:1643,total:5307,4,3,Fantagraphics,252,2018,eng,Dash Shaw,4.0,2:340,5:2115,1560979151,3:1103,,
1895844,Cats' Night Out,1:4,4:221,total:585,3,23,Simon & Schuster/Paula Wiseman Books,106,2010,eng,Caroline Stutson,3.71,2:51,5:126,1416940057,3:183,,2010
72996,The Thurber Carnival,1:22,4:1080,total:2894,19,11,Harper Perennial Modern Classics,135,2013,,James Thurber,4.23,2:82,5:1303,0060932872,3:407,Fiction,1999
223797,Love and Logic Magic for Early Childhood,1:49,4:1969,total:5365,1,1,Love & Logic Press,881,2010,,Jim Fay,4.12,2:206,5:2180,1930429002,3:961,Child rearing,2000
25402,The Ringmaster's Daughter,1:110,4:1610,total:4607,27,3,Phoenix,134,2012,,Jostein Gaarder,3.75,2:378,5:1230,0753817004,3:1279,Fiction,2003
1307156,To Hell with All That: Loving and Loathing Our Inner Housewife,1:30,4:188,total:652,1,5,Little Brown and Company,158,2011,,Caitlin Flanagan,3.24,2:129,5:78,0316736872,3:227,Social Science,2006
4030991,Shoe Dog,1:1760,4:40095,total:148067,4,26,Scribner,616,2016,eng,Phil Knight,4.48,2:2495,5:92671,,3:11046,,
219766,"The Red Church (Sheriff Frank Littlefield, #1)",1:124,4:727,total:2388,5,1,Smashwords Edition,180,2010,eng,Scott Nicholson,3.46,2:312,5:463,0786015039,3:762,Appalachian Region,
142465,Flash for Freedom (The Flashman Papers #3),1:10,4:1685,total:4166,16,7,HarperCollins Publishers Ltd,134,2015,eng,George MacDonald Fraser,4.2,2:66,5:1695,0006511279,3:710,,1999
4632388,Abroad,1:52,4:397,total:1237,6,17,Sarah Crichton Books,156,2014,,Katie Crouch,3.38,2:158,5:166,0374100365,3:464,Fiction,2014
648194,Hissy Fit,1:310,4:8230,total:21818,10,7,Harper Paperbacks,1215,2012,eng,Mary Kay Andrews,3.96,2:988,5:7113,0060564652,3:5177,,2005
3240700,أن تكون عباس العبد,1:365,4:751,total:2887,2,4,الكرمة للنشر,493,2014,ara,أحمد العايدي,3.13,2:508,5:429,,3:834,,
111044,Stop Pretending: What Happened When My Big Sister Went Crazy,1:81,4:1512,total:4699,12,7,HarperTeen,503,2016,eng,Sonya Sones,3.9,2:327,5:1606,0064462188,3:1173,,2001
1456757,The Pregnant Widow,1:236,4:686,total:2595,4,2,Jonathan Cape,248,2010,en-GB,Martin Amis,3.09,2:511,5:264,0224076124,3:898,,2010
3239487,Yummy: The Last Days of a Southside Shorty,1:216,4:2153,total:6272,7,31,Lee & Low Books,939,2010,eng,G. Neri,3.98,2:318,5:2366,1584302674,3:1219,Juvenile Nonfiction,2010
44184,Monster,1:1710,4:19893,total:58109,5,3,Amistad,5398,2019,eng,Walter Dean Myers,3.72,2:5054,5:15147,0064407314,3:16305,,2001
62901,"Sharpe's Trafalgar (Sharpe, #4)",1:24,4:4213,total:10007,23,10,Harper Paperbacks,234,2012,eng,Bernard Cornwell,4.08,2:252,5:3464,0061098620,3:2054,,2002
289870,The Hobbit (Middle-Earth Universe),1:57098,4:817712,total:2760663,18,9,Houghton Mifflin Harcourt,587,2012,eng,J.R.R. Tolkien,4.27,2:91339,5:1449407,,3:345107,,
47624,"Lirael (Abhorsen, #2)",1:946,4:35377,total:102178,30,12,Eos,1967,2015,en-US,Garth Nix,4.29,2:2260,5:50253,0060590165,3:13342,,2004
4703553,"The Cold Commands (A Land Fit for Heroes, #2)",1:86,4:3459,total:8055,10,13,Gollancz,375,2011,eng,Richard K. Morgan,3.95,2:378,5:2375,057507793X,3:1757,Exiles,2011
1100375,Lost on a Mountain in Maine,1:41,4:572,total:1578,23,12,HarperCollins,174,2013,en-US,Donn Fendler,3.87,2:88,5:488,068811573X,3:389,,1992
731804,Pinkalicious,1:560,4:4829,total:19204,5,1,HarperCollins,817,2016,eng,Victoria Kann,4.06,2:1214,5:8967,0060776390,3:3634,Juvenile Fiction,
214967,The Web That Has No Weaver: Understanding Chinese Medicine,1:13,4:598,total:1649,29,11,RosettaBooks,103,2010,,Ted Kaptchuk,4.21,2:48,5:735,0809228408,3:255,Health & Fitness,2000
859744,The Wheels on the Bus,1:18,4:448,total:1791,15,9,Dutton Books for Young Readers,101,2015,en-US,Paul O. Zelinsky,4.22,2:72,5:924,0525446443,3:329,Juvenile Fiction,
262437,"Dingoes at Dinnertime (Magic Tree House, #20)",1:142,4:1910,total:6990,15,6,Random House for Young Readers,195,2010,en-US,Mary Pope Osborne,3.9,2:449,5:2565,0679890661,3:1924,,
2590136,"Barracoon: The Story of the Last ""Black Cargo""",1:154,4:7697,total:18236,5,8,HarperCollins Publishers,2071,2018,eng,Zora Neale Hurston,4.05,2:580,5:6168,0060921706,3:3637,Fiction,1976
1144682,My Place,1:114,4:1877,total:4938,1,4,Fremantle Arts Center Press,194,2010,eng,Sally Morgan,3.9,2:257,5:1536,0949206318,3:1154,Biography & Autobiography,2010
142886,"Riding Lessons (Riding Lessons, #1)",1:429,4:3049,total:10193,1,11,William Morrow Paperbacks,1029,2016,,Sara Gruen,3.44,2:1384,5:1843,0061241083,3:3488,Fiction,
1108019,"A Season of Angels (Angels Everywhere, #1)",1:248,4:1302,total:4614,28,6,Avon,211,2011,eng,Debbie Macomber,3.93,2:269,5:1875,0061081841,3:920,,2011
143724,The Pirates! In an Adventure with Communists,1:13,4:577,total:1423,20,1,Pantheon,107,2010,eng,Gideon Defoe,4.08,2:40,5:515,0375423974,3:278,,2006
126630,The Eighth Day,1:29,4:443,total:1303,28,11,Harper Perennial Modern Classics,112,2017,eng,Thornton Wilder,3.98,2:76,5:485,0060088915,3:270,,
85865,Hogg,1:137,4:184,total:762,29,11,Constable and Robinson,108,2012,eng,Samuel R. Delany,3.14,2:106,5:153,,3:182,,
186344,With Malice Toward None: A Biography of Abraham Lincoln,1:101,4:2254,total:6913,8,2,Harper Perennial,197,2011,eng,Stephen B. Oates,4.23,2:220,5:3338,0060924713,3:1000,Biography & Autobiography,2009
77711,"A Fire Upon the Deep (Zones of Thought, #1)",1:793,4:17664,total:49624,31,8,Tor Science Fiction,1986,2010,eng,Vernor Vinge,4.14,2:2070,5:21188,0812515285,3:7909,,
714711,You Can Win: A Step by Step Tool for Top Achievers,1:435,4:5217,total:15232,1,1,New Dawn Press(IL),473,2010,,Shiv Khera,3.89,2:997,5:5086,1904910033,3:3497,Attitude (Psychology),2004
3609763,The Twilight Saga: The Official Illustrated Guide,1:740,4:6262,total:31208,4,12,"Little, Brown Young Readers",862,2011,eng,Stephenie Meyer,4.25,2:1431,5:17903,0316043125,3:4872,,2011
53492,Heartbeat,1:156,4:3337,total:9401,26,12,HarperCollins,933,2012,eng,Sharon Creech,3.93,2:595,5:3154,0060540249,3:2159,,2005
3409425,Local,1:80,4:1490,total:3932,9,10,Oni Press,270,2013,eng,Brian Wood,3.99,2:199,5:1380,193496400X,3:783,,2008
766860,"I Spit on Your Graves (Vernon Sullivan, #1)",1:382,4:2834,total:8051,31,10,Tamtam Books,140,2013,eng,Boris Vian,3.6,2:774,5:1782,096623460X,3:2279,African Americans,1998
89546,"Henry and the Paper Route (Henry, #4)",1:38,4:1983,total:5716,18,3,HarperCollins,127,2014,eng,Beverly Cleary,4.0,2:181,5:1987,,3:1527,,
262436,"Christmas in Camelot (Magic Tree House, #29)",1:179,4:2440,total:8663,15,6,Random House for Young Readers,288,2010,eng,Mary Pope Osborne,4.03,2:505,5:3657,037581373X,3:1882,,2001
107159,Batman: Gotham by Gaslight (Elseworlds),1:132,4:3538,total:10694,12,3,DC Comics,322,2013,eng,Brian Augustyn,3.9,2:642,5:3470,1401211534,3:2912,,
53343,On Writing Well: The Classic Guide to Writing Nonfiction,1:114,4:7591,total:20985,5,4,Harper Perennial,1407,2016,eng,William Zinsser,4.26,2:504,5:9789,0060891548,3:2987,Reference,2006
3292046,"Passion Play (River of Souls, #1)",1:48,4:231,total:754,4,24,Tor Books,126,2012,eng,Beth Bernobich,3.42,2:109,5:147,0765361981,3:219,,2012
96125,So You Want to Be President?,1:191,4:2774,total:8339,19,8,Philomel Books,881,2012,eng,Judith St. George,3.96,2:464,5:3036,0399243178,3:1874,,
2914988,The Love of My Life,1:122,4:1450,total:4295,3,6,Bookouture,249,2015,eng,Louise Douglas,3.74,2:356,5:1168,,3:1199,,
146109,"Red Rackham's Treasure (Tintin, #12)",1:54,4:4601,total:13087,1,6,Egmont,194,2012,eng,Hergé,4.26,2:253,5:6153,1405206233,3:2026,Adventure,
2035785,Winter Journey,1:52,4:1181,total:3047,1,24,4th Estate,167,2017,eng,Diane Armstrong,4.05,2:119,5:1128,0732276950,3:567,Fiction,
879613,The Drowned World,1:607,4:4479,total:13503,10,4,Fourth Estate,102,2014,eng,J.G. Ballard,3.48,2:1683,5:2439,0007221835,3:4295,Cities,2006
128996,"The Comet's Curse (Galahad, #1)",1:25,4:302,total:949,2,3,Tor Teen,134,2010,,Dom Testa,3.72,2:88,5:259,,3:275,,
8833,Inconceivable,1:106,4:1583,total:4434,26,5,Delta,114,2010,,Ben Elton,3.5700000000000003,2:445,5:793,0385334656,3:1507,,
1466455,Three Wishes,1:998,4:42985,total:101463,24,6,Harper Paperbacks,5238,2014,eng,Liane Moriarty,3.78,2:4978,5:21661,0060586133,3:30841,,
79428,The Abolition of Man,1:395,4:7321,total:21574,7,4,HarperOne,1077,2015,eng,C.S. Lewis,4.09,2:916,5:8938,0060652942,3:4004,Religion,2001
38500,Women,1:1702,4:22600,total:60606,29,7,Ecco,2110,2014,eng,Charles Bukowski,3.85,2:4235,5:18390,0061177598,3:13679,Fiction,
23289,The Dead,1:303,4:4835,total:15273,17,5,Melville House Publishing,613,2011,eng,James Joyce,4.05,2:872,5:6344,,3:2919,,
815394,Parasite Rex: Inside the Bizarre World of Nature's Most Dangerous Creatures,1:68,4:1659,total:4682,9,11,Atria Books,352,2014,en-US,Carl Zimmer,4.19,2:156,5:2113,074320011X,3:686,,2001
161402,Three Lives,1:330,4:771,total:3326,17,3,Dover Publications,209,2011,,Gertrude Stein,3.1,2:671,5:454,0486280594,3:1100,Fiction,1994
213347,The Living,1:87,4:964,total:2701,12,11,Harper Perennial,309,2013,en-US,Annie Dillard,3.84,2:207,5:846,006092411X,3:597,Fiction,
857418,The Carrot Seed,1:168,4:4170,total:14572,26,5,HarperFestival,484,2020,,Ruth Krauss,4.08,2:738,5:6310,0694004928,3:3186,,
229778,Scorpions,1:79,4:719,total:2298,23,4,Amistad,353,2013,eng,Walter Dean Myers,3.81,2:176,5:736,0064406237,3:588,,
2125922,The Mousetrap: A Play,1:18,4:1272,total:3150,4,29,Samuel French Trade,125,2010,en-US,Agatha Christie,3.95,2:140,5:949,0573619239,3:771,,
118028,The Left Hand of Darkness  (Hainish Cycle #4),1:1640,4:41599,total:111713,1,12,Ace,435,2010,eng,Ursula K. Le Guin,4.07,2:5223,5:43218,0441478123,3:20033,Fiction,1987
2776789,"The Passage (The Passage, #1)",1:4721,4:68372,total:186478,8,1,Orion Books,216,2010,eng,Justin Cronin,4.04,2:10072,5:72124,0752897853,3:31189,,2010
588369,A Place Called Here,1:1027,4:9722,total:30327,1,3,HarperCollins,1119,2012,eng,Cecelia Ahern,3.67,2:3008,5:7836,0007198914,3:8734,Brothers,2007
28597,Prometheus Rising,1:66,4:1798,total:5664,1,9,New Falcon Publications,305,2010,eng,Robert Anton Wilson,4.26,2:200,5:2828,1561840564,3:772,"Body, Mind & Spirit",2003
